(215, 380, 102, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(216, 181, 124, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(217, 304, 18, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(218, 1204, 460, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(219, 406, 93, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(220, 407, 134, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(221, 403, 135, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(222, 197, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(223, 1180, 427, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(224, 1105, 422, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(225, 206, 186, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(226, 1143, 414, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(227, 452, 101, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(228, 1759, 66, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(229, 120, 12, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(230, 388, 81, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(231, 409, 86, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(232, 1016, 420, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(233, 1314, 157, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(234, 1011, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(235, 427, 129, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(236, 389, 60, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(237, 1093, 425, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(238, 311, 18, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(239, 1166, 401, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(240, 1045, 418, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(241, 403, 92, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(242, 1787, 103, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(243, 1152, 503, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(244, 979, 622, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(245, 1528, 451, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(246, 1078, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(247, 42, 153, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(248, 197, 87, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(249, 384, 87, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(250, 393, 71, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(251, 1318, 191, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(252, 390, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(253, 1127, 385, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(254, 419, 159, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(255, 1030, 388, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(256, 396, 108, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(257, 10, 147, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(258, 197, 162, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(259, 240, 86, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(260, 1034, 403, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(261, 1104, 462, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(262, 1733, 66, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(263, 403, 91, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(264, 374, 77, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(265, 885, 94, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(266, 446, 83, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(267, 375, 86, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(268, 991, 452, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(269, 237, 143, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(270, 1022, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(271, 1022, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(272, 1087, 418, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(273, 1089, 411, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(274, 398, 93, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(275, 1099, 414, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(276, 1026, 389, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(277, 421, 81, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(278, 719, 113, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(279, 412, 197, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(280, 402, 141, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(281, 209, 152, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(282, 415, 83, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(283, 252, 67, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(284, 459, 225, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(285, 1066, 393, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(286, 404, 132, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(287, 181, 169, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(288, 1041, 992, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(289, 1001, 474, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(290, 791, 69, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(291, 1239, 420, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(292, 1094, 404, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(293, 1129, 423, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(294, 411, 90, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(295, 1896, 68, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(296, 450, 118, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(297, 402, 101, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(298, 1114, 408, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(299, 375, 83, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(300, 1318, 191, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(301, 384, 111, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(302, 1048, 379, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(303, 381, 60, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(304, 432, 63, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(305, 381, 85, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(306, 1961, 96, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(307, 407, 103, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(308, 407, 104, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(309, 1125, 386, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(310, 194, 217, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(311, 379, 78, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(312, 1125, 401, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(313, 1185, 396, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(314, 439, 39, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(315, 1043, 386, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(316, 996, 400, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(317, 402, 86, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(318, 990, 89, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(319, 395, 76, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(320, 200, 181, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(321, 979, 374, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(322, 399, 109, [1, 2, 0], [0, 16, 32], [16, 32, 32])
(323, 1044, 409, [1, 2, 0], [0, 16, 32], [16, 32, 32])
