(201, 1199, 108, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(202, 1037, 419, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(203, 1115, 413, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(204, 977, 429, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(205, 485, 91, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(206, 1000, 414, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(207, 1192, 646, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(208, 203, 162, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(209, 433, 84, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(210, 1020, 414, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(211, 1337, 38, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(212, 996, 389, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(213, 1171, 395, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(214, 209, 183, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(215, 380, 102, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(216, 181, 124, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(217, 304, 18, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(218, 1204, 460, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(219, 406, 93, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(220, 407, 134, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(221, 403, 135, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(222, 197, 217, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(223, 1180, 427, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(224, 1105, 422, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(225, 206, 186, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(226, 1143, 414, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(227, 452, 101, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(228, 1759, 66, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(229, 120, 12, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(230, 388, 81, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(231, 409, 86, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(232, 1016, 420, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(233, 1314, 157, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(234, 1011, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(235, 427, 129, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(236, 389, 60, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(237, 1093, 425, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(238, 311, 18, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(239, 1166, 401, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(240, 1045, 418, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(241, 403, 92, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(242, 1787, 103, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(243, 1152, 503, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(244, 979, 622, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(245, 1528, 451, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(246, 1078, 396, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(247, 42, 153, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(248, 197, 87, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(249, 384, 87, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(250, 393, 71, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
(251, 1318, 191, [1, 2, 3, 4, 0], [0, 15, 30, 45, -1], [15, 30, 45, 60, -1])
